book_id,title,subtitle,cover_image_url,abstract,CommunityReview,page_count,published_date,Genre
6462,His Excellency: George Washington,,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1386925509i/6462.jpg,"To this landmark biography of our first president, Joseph J. Ellis brings the exacting scholarship, shrewd analysis, and lyric prose that have made him one of the premier historians of the Revolutionary era. Training his lens on a figure who sometimes seems as remote as his effigy on Mount Rushmore, Ellis assesses George Washington as a military and political leader and a man whose “statue-like solidity” concealed volcanic energies and emotions.<br /><br />Here is the impetuous young officer whose miraculous survival in combat half-convinced him that he could not be killed. Here is the free-spending landowner whose debts to English merchants instilled him with a prickly resentment of imperial power. We see the general who lost more battles than he won and the reluctant president who tried to float above the partisan feuding of his cabinet. <b>His Excellency</b> is a magnificent work, indispensable to an understanding not only of its subject but also of the nation he brought into being.",,320,"November 8, 2005",Biography/Memoir
93996,Hitler: 1889-1936 Hubris,,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1768839469i/93996.jpg,"From his illegitimate birth in a small Austrian village to his fiery death in a bunker under the Reich chancellery in Berlin, Adolf Hitler left a murky trail, strewn with contradictory tales &amp; overgrown with self-created myths. One truth prevails: the sheer scale of the evils that he unleashed on the world has made him a demonic figure without equal in this century. Kershaw's Hitler brings us closer than ever before to the character of the bizarre misfit in his 30-year ascent from a Viennese shelter for the indigent to uncontested rule over the German nation that had tried &amp; rejected democracy in the crippling aftermath of WWI. With extraordinary vividness, Kershaw recreates the settings that made Hitler's rise possible: the virulent anti-Semitism of prewar Vienna, the crucible of a war with immense casualties, the toxic nationalism that gripped Bavaria in the 20s, the undermining of the Weimar Republic by extremists of the Right &amp; the Left, the hysteria that accompanied Hitler's seizure of power in 1933 &amp; then mounted in brutal attacks by his storm troopers on Jews &amp; others condemned as enemies of the Aryan race. In an account drawing on many previously untapped sources, Hitler metamorphoses from an obscure fantasist, a drummer sounding an insistent beat of hatred in Munich beer halls, to the instigator of an infamous failed putsch &amp;, ultimately, to the leadership of a ragtag alliance of right-wing parties fused into a movement that enthralled the German people. This volume, 1st of two, ends with the promulgation of the infamous Nuremberg laws that pushed German Jews to the outer fringes of society, &amp; with the march of the German army into the Rhineland, Hitler's initial move toward the abyss of war.",,845,"April 12, 2000",Military History
1206073,Washington's Crossing,,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1353284022i/1206073.jpg,"Six months after the Declaration of Independence, the American Revolution was all but lost. A powerful British force had routed the Americans at New York, occupied three colonies, and advanced within sight of Philadelphia.<br /><br />Yet, as David Hackett Fischer recounts in this riveting history, George Washington--and many other Americans--refused to let the Revolution die. On Christmas night, as a howling nor'easter struck the Delaware Valley, he led his men across the river and attacked the exhausted Hessian garrison at Trenton, killing or capturing nearly a thousand men. A second battle of Trenton followed within days. The Americans held off a counterattack by Lord Cornwallis's best troops, then were almost trapped by the British force. Under cover of night, Washington's men stole behind the enemy and struck them again, defeating a brigade at Princeton. The British were badly shaken. In twelve weeks of winter fighting, their army suffered severe damage, their hold on New Jersey was broken, and their strategy was ruined.<br /><br />Fischer's richly textured narrative reveals the crucial role of contingency in these events. We see how the campaign unfolded in a sequence of difficult choices by many actors, from generals to civilians, on both sides. While British and German forces remained rigid and hierarchical, Americans evolved an open and flexible system that was fundamental to their success. The startling success of Washington and his compatriots not only saved the faltering American Revolution, but helped to give it new meaning.",,564,"February 12, 2004",Military History
2368,Mornings on Horseback,,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1441770174i/2368.jpg,"<i>Mornings on Horseback: The Story of an Extraordinary Family, a Vanished Way of Life, and the Unique Child Who Became Theodore Roosevelt</i> is the brilliant biography of the young Theodore Roosevelt. Hailed as a masterpiece by <i>Newsday,</i> it also won the <i>Los Angeles Times</i> Book Prize for Biography. Now with a new introduction by the author, <i>Mornings on Horseback</i> is reprinted as a Simon &amp; Schuster Classic Edition. <p> <i>Mornings on Horseback</i> is about the world of the young Theodore Roosevelt. It is the story of a remarkable little boy, seriously handicapped by recurrent and nearly fatal attacks of asthma, and his struggle to manhood: an amazing metamorphosis seen in the context of the very uncommon household (and rarefied social world) in which he was raised. </p><p> His father is the first Theodore Roosevelt, ""Greatheart,"" a figure of unbounded energy, enormously attractive and selfless, a god in the eyes of his small, frail namesake. His mother, Mittie Bulloch Roosevelt, is a Southerner and celebrated beauty, but also considerably more, which the book makes clear as never before. There are sisters Anna and Corinne, brother Elliott (who becomes the father of Eleanor Roosevelt), and the lovely, tragic Alice Lee, Teddy Roosevelt's first love. And while such disparate figures as Abraham Lincoln, Mrs. John Jacob Astor, and Senator Roscoe Conkling play a part, it is this diverse and intensely human assemblage of Roosevelts, all brought to vivid life, which gives the book its remarkable power. </p><p> The book spans seventeen years � from 1869 when little ""Teedie"" is ten, to 1886 when, as a hardened ""real life cowboy,"" he returns from the West to pick up the pieces of a shattered life and begin anew, a grown man, whole in body and spirit. The story does for Teddy Roosevelt what Sunrise at Campobello did for FDR � reveals the inner man through his battle against dreadful odds. </p><p> Like David McCullough's <i>The Great Bridge,</i> also set in New York, this is at once an enthralling story, with all the elements of a great novel, and a penetrating character study. It is brilliant social history and a work of important scholarship, which does away with several old myths and breaks entirely new ground. For the first time, for example, Roosevelt's asthma is examined closely, drawing on information gleaned from private Roosevelt family papers and in light of present-day knowledge of the disease and its psychosomatic aspects. </p><p> At heart it is a book about life intensely lived...about family love and family loyalty...about courtship and childbirth and death, fathers and sons...about winter on the Nile in the grand manner and Harvard College...about gutter politics in washrooms and the tumultuous Republican Convention of 1884...about grizzly bears, grief and courage, and ""blessed"" mornings on horseback at Oyster Bay or beneath the limitless skies of the Badlands. ""Black care rarely sits behind a rider whose pace is fast enough,"" Roosevelt once wrote. It is the key to his life and to much that is so memorable in this magnificent book.</p>",,445,"May 12, 1982",Biography/Memoir
10335318,"Destiny of the Republic: A Tale of Madness, Medicine and the Murder of a President",,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1653156803i/10335318.jpg,"James A. Garfield was one of the most extraordinary men ever elected president. Born into abject poverty, he rose to become a wunderkind scholar, a Civil War hero, and a renowned and admired reformist congressman. Nominated for president against his will, he engaged in a fierce battle with the corrupt political establishment. But four months after his inauguration, a deranged office seeker tracked Garfield down and shot him in the back. <br /><br />But the shot didn’t kill Garfield. The drama of what hap­pened subsequently is a powerful story of a nation in tur­moil. The unhinged assassin’s half-delivered strike shattered the fragile national mood of a country so recently fractured by civil war, and left the wounded president as the object of a bitter behind-the-scenes struggle for power—over his administration, over the nation’s future, and, hauntingly, over his medical care. A team of physicians administered shockingly archaic treatments, to disastrous effect. As his con­dition worsened, Garfield received help: Alexander Graham Bell, the inventor of the telephone, worked around the clock to invent a new device capable of finding the bullet. <br /><br />Meticulously researched, epic in scope, and pulsating with an intimate human focus and high-velocity narrative drive, <i>The Destiny of the Republic</i> will stand alongside <i>The Devil in the White City</i> and <i>The Professor and the Madman</i> as a classic of narrative history.",,339,"September 20, 2011",Military History
42512,We Were Soldiers Once... and Young: Ia Drang - The Battle that Changed the War in Vietnam,,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1328912889i/42512.jpg,"Each year, the Commandant of the U.S. Marine Corps selects one book that he believes is both relevant and timeless for reading by all Marines. The Commandant's choice for 1993 was <b>We Were Soldiers Once . . . and Young</b><i>.</i> <br /><br />In November 1965, some 450 men of the 1st Battalion, 7th Cavalry, under the command of Lt. Col. Hal Moore, were dropped by helicopter into a small clearing in the Ia Drang Valley. They were immediately surrounded by 2,000 North Vietnamese soldiers. Three days later, only two and a half miles away, a sister battalion was chopped to pieces. Together, these actions at the landing zones X-Ray and Albany constituted one of the most savage and significant battles of the Vietnam War. <br />How these men persevered--sacrificed themselves for their comrades and never gave up--makes a vivid portrait of war at its most inspiring and devastating. General Moore and Joseph Galloway, the only journalist on the ground throughout the fighting, have interviewed hundreds of men who fought there, including the North Vietnamese commanders. This devastating account rises above the specific ordeal it chronicles to present a picture of men facing the ultimate challenge, dealing with it in ways they would have found unimaginable only a few hours earlier. It reveals to us, as rarely before, man's most heroic and horrendous endeavor.",,480,"January 1, 2004",Military History
91017,Rubicon: The Last Years of the Roman Republic,,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1320470983i/91017.jpg,"In 49 B.C., the seven hundred fifth year since the founding of Rome, Julius Caesar crossed a small border river called the Rubicon and plunged Rome into cataclysmic civil war. Tom Holland’s enthralling account tells the story of Caesar’s generation, witness to the twilight of the Republic and its bloody transformation into an empire.<br /><br />From Cicero, Spartacus, and Brutus, to Cleopatra, Virgil, and Augustus, here are some of the most legendary figures in history brought thrillingly to life. Combining verve and freshness with scrupulous scholarship, <i>Rubicon </i>is not only an engrossing history of this pivotal era but a uniquely resonant portrait of a great civilization in all its extremes of self-sacrifice and rivalry, decadence and catastrophe, intrigue, war, and world-shaking ambition.",,408,"March 8, 2005",Military History
541920,"An Army at Dawn: The War in North Africa, 1942-1943",,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1440057096i/541920.jpg,"<b>
  <blockquote>WINNER OF THE PULITZER PRIZE AND <i>NEW YORK TIMES</i> BESTSELLER</blockquote>
</b><b>
  <blockquote>In the first volume of his monumental trilogy about the liberation of Europe in WW II, Pulitzer Prize winner Rick Atkinson tells the riveting story of the war in North Africa</blockquote>
</b>The liberation of Europe and the destruction of the Third Reich is a story of courage and enduring triumph, of calamity and miscalculation. In this first volume of the Liberation Trilogy, Rick Atkinson shows why no modern reader can understand the ultimate victory of the Allied powers without a grasp of the great drama that unfolded in North Africa in 1942 and 1943. That first year of the Allied war was a pivotal point in American history, the moment when the United States began to act like a great power.<br /><br />Beginning with the daring amphibious invasion in November 1942, An Army at Dawn follows the American and British armies as they fight the French in Morocco and Algeria, and then take on the Germans and Italians in Tunisia. Battle by battle, an inexperienced and sometimes poorly led army gradually becomes a superb fighting force. Central to the tale are the extraordinary but fallible commanders who come to dominate the battlefield: Eisenhower, Patton, Bradley, Montgomery, and Rommel.<br /><br />Brilliantly researched, rich with new material and vivid insights, Atkinson's narrative provides the definitive history of the war in North Africa.",,681,"October 2, 2002",Military History
42389,"Band of Brothers: E Company, 506th Regiment, 101st Airborne from Normandy to Hitler's Eagle's Nest",,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1388247701i/42389.jpg,"As good a rifle company as any, Easy Company, 506th Airborne Division, US Army, kept getting tough assignments--responsible for everything from parachuting into France early DDay morning to the capture of Hitler's Eagle's Nest at Berchtesgaden. In ""Band of Brothers,"" Ambrose tells of the men in this brave unit who fought, went hungry, froze &amp; died, a company that took 150% casualties &amp; considered the Purple Heart a badge of office. Drawing on hours of interviews with survivors as well as the soldiers' journals &amp; letters, Stephen Ambrose recounts the stories, often in the men's own words, of these American heroes.<br />Foreword<br />""We wanted those wings""; Camp Toccoa, 7-12/42<br />""Stand up &amp; hook up""; Benning, Mackall, Bragg, Shanks, 12/42-9/43<br />""Duties of the latrine orderly""; Aldbourne, 9/43-3/44<br />""Look out, Hitler! Here we come!""; Slapton Sands, Uppottery, 4/1-6/5/44<br />""Follow me""; Normandy, 6/6/44<br />""Move out!""; Carentan, 6/7-7/12/44<br />Healing wounds &amp; scrubbed missions; Aldbourne, 7/13-9/16/44<br />""Hell's highway""; Holland, 9/17-10/1/44<br />Island; Holland, 10/2-11/25/44<br />Resting, recovering &amp; refitting: Mourmelon-le-Grand, 11/26-12/18/44<br />""They got us surrounded-the poor bastards""; Bastogne, 12/19-31/44<br />Breaking point; Bastogne, 1/1-13/45 <br />Attack; Noville, 1/14-17/45<br />Patrol: Haguenau, 1/18-2/23/45<br />""Best feeling in the world"": Mourmelon, 2/25-4/2/45<br />Getting to know the enemy: Germany, 4/2-30/45<br />Drinking Hitler's champagne; Berchtesgaden, 5/1-8/45<br />Soldier's dream life; Austria, 5/8-7/31/45<br />Postwar careers; 1945-91<br />Acknowledgments &amp; Sources<br />Index",,432,"August 27, 2002",Military History
2203,John Adams,,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1478144278i/2203.jpg,"The enthralling, often surprising story of John Adams, one of the most important and fascinating Americans who ever lived.<br /><br />In this powerful, epic biography, David McCullough unfolds the adventurous life-journey of John Adams, the brilliant, fiercely independent, often irascible, always honest Yankee patriot -- ""the colossus of independence,"" as Thomas Jefferson called him -- who spared nothing in his zeal for the American Revolution; who rose to become the second President of the United States and saved the country from blundering into an unnecessary war; who was learned beyond all but a few and regarded by some as ""out of his senses""; and whose marriage to the wise and valiant Abigail Adams is one of the moving love stories in American history. <br /><br />Like his masterly, Pulitzer Prize-winning biography Truman, David McCullough's John Adams has the sweep and vitality of a great novel. It is both a riveting portrait of an abundantly human man and a vivid evocation of his time, much of it drawn from an outstanding collection of Adams family letters and diaries. In particular, the more than one thousand surviving letters between John and Abigail Adams, nearly half of which have never been published, provide extraordinary access to their private lives and make it possible to know John Adams as no other major American of his founding era. <br /><br />As he has with stunning effect in his previous books, McCullough tells the story from within -- from the point of view of the amazing eighteenth century and of those who, caught up in events, had no sure way of knowing how things would turn out. George Washington, Benjamin Franklin, John Jay, the British spy Edward Bancroft, Madame Lafayette and Jefferson's Paris ""interest"" Maria Cosway, Alexander Hamilton, James Madison, the scandalmonger James Callender, Sally Hemings, John Marshall, Talleyrand, and Aaron Burr all figure in this panoramic chronicle, as does, importantly, John Quincy Adams, the adored son whom Adams would live to see become President. <br /><br />Crucial to the story, as it was to history, is the relationship between Adams and Jefferson, born opposites -- one a Massachusetts farmer's son, the other a Virginia aristocrat and slaveholder, one short and stout, the other tall and spare. Adams embraced conflict; Jefferson avoided it. Adams had great humor; Jefferson, very little. But they were alike in their devotion to their country. <br /><br />At first they were ardent co-revolutionaries, then fellow diplomats and close friends. With the advent of the two political parties, they became archrivals, even enemies, in the intense struggle for the presidency in 1800, perhaps the most vicious election in history. Then, amazingly, they became friends again, and ultimately, incredibly, they died on the same day -- their day of days -- July 4, in the year 1826. <br /><br />Much about John Adams's life will come as a surprise to many readers. His courageous voyage on the frigate Boston in the winter of 1778 and his later trek over the Pyrenees are exploits that few would have dared and that few readers will ever forget. <br /><br />It is a life encompassing a huge arc -- Adams lived longer than any president. The story ranges from the Boston Massacre to Philadelphia in 1776 to the Versailles of Louis XVI, from Spain to Amsterdam, from the Court of St. James's, where Adams was the first American to stand before King George III as a representative of the new nation, to the raw, half-finished Capital by the Potomac, where Adams was the first President to occupy the White House. <br /><br />This is history on a grand scale -- a book about politics and war and social issues, but also about human nature, love, religious faith, virtue, ambition, friendship and betrayal, and the far-reaching consequences of noble ideas. Above all, John Adams is an enthralling, often surprising story of one of the most important and fascinating Americans who ever lived.",,751,"May 22, 2001",Biography/Memoir
